"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"38","tt0106918","Wed Mar 29 00:00:00 2017","","","The Firm","Feature Film","Sydney Pollack","7","6.8","154","1993","drama, mystery, thriller","93981","1993-06-23","http://www.imdb.com/title/tt0106918/"
"39","tt0105585","Tue Mar 28 00:00:00 2017","","","Thunderheart","Feature Film","Michael Apted","7","6.8","119","1992","crime, mystery, thriller","11867","1992-04-03","http://www.imdb.com/title/tt0105585/"
"40","tt0464196","Tue Mar 28 00:00:00 2017","","","Severance","Feature Film","Christopher Smith","6","6.5","96","2006","comedy, horror, thriller","32895","2006-07-18","http://www.imdb.com/title/tt0464196/"
"41","tt1656190","Mon Mar 27 00:00:00 2017","","","Safe","Feature Film","Boaz Yakin","6","6.5","94","2012","action, crime, thriller","88551","2012-04-16","http://www.imdb.com/title/tt1656190/"
"42","tt0439815","Mon Mar 27 00:00:00 2017","","","Slither","Feature Film","James Gunn","7","6.5","95","2006","comedy, horror, sci_fi","64613","2006-03-31","http://www.imdb.com/title/tt0439815/"
"43","tt0421239","Sat Mar 25 00:00:00 2017","","","Red Eye","Feature Film","Wes Craven","6","6.5","85","2005","mystery, thriller","97738","2005-08-04","http://www.imdb.com/title/tt0421239/"
"44","tt0433362","Sat Mar 25 00:00:00 2017","","","Daybreakers","Feature Film","The Spierig Brothers, The Spierig Brothers","6","6.5","98","2009","action, horror, sci_fi, thriller","109478","2009-09-11","http://www.imdb.com/title/tt0433362/"
"45","tt0327850","Fri Mar 24 00:00:00 2017","","","The Rundown","Feature Film","Peter Berg","6","6.7","104","2003","action, adventure, comedy, thriller","86263","2003-09-22","http://www.imdb.com/title/tt0327850/"
"46","tt0089880","Fri Mar 24 00:00:00 2017","","","Rambo: First Blood Part II","Feature Film","George P. Cosmatos","6","6.4","96","1985","action, adventure, thriller, war","124629","1985-05-22","http://www.imdb.com/title/tt0089880/"
"47","tt2051879","Thu Mar 23 00:00:00 2017","","","Europa Report","Feature Film","Sebastián Cordero","7","6.5","90","2013","drama, mystery, sci_fi, thriller","56853","2013-06-15","http://www.imdb.com/title/tt2051879/"
"48","tt0113161","Thu Mar 23 00:00:00 2017","","","Get Shorty","Feature Film","Barry Sonnenfeld","7","6.9","105","1995","comedy, crime, thriller","65478","1995-10-20","http://www.imdb.com/title/tt0113161/"
"49","tt3647498","Thu Mar 23 00:00:00 2017","","","Blood Father","Feature Film","Jean-François Richet","6","6.4","88","2016","action, crime, drama, thriller","41303","2016-05-21","http://www.imdb.com/title/tt3647498/"
"50","tt0120735","Wed Mar 22 00:00:00 2017","","","Lock, Stock and Two Smoking Barrels","Feature Film","Guy Ritchie","8","8.2","107","1998","comedy, crime","442704","1998-08-23","http://www.imdb.com/title/tt0120735/"
"51","tt0105226","Tue Mar 21 00:00:00 2017","","","Red Rock West","Feature Film","John Dahl","7","7.0","98","1993","crime, drama, thriller","16579","1993-05-14","http://www.imdb.com/title/tt0105226/"
"52","tt0118926","Mon Mar 20 00:00:00 2017","","","The Dancer Upstairs","Feature Film","John Malkovich","7","7.0","132","2002","crime, drama, thriller","5759","2002-01-11","http://www.imdb.com/title/tt0118926/"
"53","tt0118111","Sun Mar 19 00:00:00 2017","","","Waiting for Guffman","Feature Film","Christopher Guest","6","7.6","84","1996","comedy","23419","1996-08-21","http://www.imdb.com/title/tt0118111/"
"54","tt0480669","Sun Mar 19 00:00:00 2017","","","Timecrimes","Feature Film","Nacho Vigalondo","7","7.2","92","2007","horror, mystery, sci_fi, thriller","45356","2007-09-20","http://www.imdb.com/title/tt0480669/"
"55","tt1282140","Sun Mar 19 00:00:00 2017","","","Easy A","Feature Film","Will Gluck","7","7.1","92","2010","comedy, drama, romance","296498","2010-09-11","http://www.imdb.com/title/tt1282140/"
"56","tt5700672","Sun Mar 19 00:00:00 2017","","","Train to Busan","Feature Film","Sang-ho Yeon","7","7.5","118","2016","action, drama, horror, thriller","62152","2016-05-13","http://www.imdb.com/title/tt5700672/"
"57","tt1272878","Sun Mar 19 00:00:00 2017","","","2 Guns","Feature Film","Baltasar Kormákur","7","6.7","109","2013","action, comedy, crime, thriller","166451","2013-07-30","http://www.imdb.com/title/tt1272878/"
"58","tt0386005","Sat Mar 18 00:00:00 2017","","","New Police Story","Feature Film","Benny Chan","6","7.0","123","2004","action, crime, drama, thriller","20427","2004-09-23","http://www.imdb.com/title/tt0386005/"
"59","tt0490215","Sat Mar 18 00:00:00 2017","","","Silence","Feature Film","Martin Scorsese","7","7.3","161","2016","adventure, drama, history","52932","2016-11-29","http://www.imdb.com/title/tt0490215/"
"60","tt0099173","Fri Mar 17 00:00:00 2017","","","Brain Dead","Feature Film","Adam Simon","7","6.1","85","1990","horror, mystery, sci_fi, thriller","2750","1990-01-19","http://www.imdb.com/title/tt0099173/"
"61","tt0083190","Fri Mar 17 00:00:00 2017","","","Thief","Feature Film","Michael Mann","7","7.4","122","1981","action, crime, drama, thriller","17817","1981-03-27","http://www.imdb.com/title/tt0083190/"
"62","tt0977855","Fri Mar 17 00:00:00 2017","","","Fair Game","Feature Film","Doug Liman","7","6.8","108","2010","biography, drama, thriller","40322","2010-05-20","http://www.imdb.com/title/tt0977855/"
"63","tt1783732","Fri Mar 17 00:00:00 2017","","","John Dies at the End","Feature Film","Don Coscarelli","9","6.4","99","2012","comedy, horror, sci_fi","31695","2012-01-23","http://www.imdb.com/title/tt1783732/"
"64","tt0281686","Fri Mar 17 00:00:00 2017","","","Bubba Ho-Tep","Feature Film","Don Coscarelli","7","7.2","92","2002","comedy, fantasy, horror, mystery","40351","2002-06-09","http://www.imdb.com/title/tt0281686/"
"65","tt0366780","Fri Mar 17 00:00:00 2017","","","Mirrormask","Feature Film","Dave McKean","7","6.9","101","2005","adventure, fantasy","20818","2005-01-25","http://www.imdb.com/title/tt0366780/"
"66","tt0119099","Fri Mar 17 00:00:00 2017","","","Fallen","Feature Film","Gregory Hoblit","7","7.0","124","1998","action, crime, drama, fantasy, mystery, thriller","62003","1998-01-16","http://www.imdb.com/title/tt0119099/"
"67","tt0122933","Fri Mar 17 00:00:00 2017","","","Analyze This","Feature Film","Harold Ramis","7","6.7","103","1999","comedy, crime","129171","1999-03-05","http://www.imdb.com/title/tt0122933/"
"68","tt0120907","Fri Mar 17 00:00:00 2017","","","eXistenZ","Feature Film","David Cronenberg","7","6.8","97","1999","action, horror, sci_fi, thriller","81037","1999-02-16","http://www.imdb.com/title/tt0120907/"
"69","tt3183660","Fri Mar 17 00:00:00 2017","","","Fantastic Beasts and Where to Find Them","Feature Film","David Yates","7","7.4","133","2016","adventure, family, fantasy","242699","2016-11-08","http://www.imdb.com/title/tt3183660/"
